  N        Fib          Runtime
  -        ---         --------
  1          1      9.7417861e-07
  2          1      1.0593534e-06
  3          2      9.9436847e-07
  4          3      9.9435286e-07
  5          5      9.9038918e-07
  6          8      9.9072081e-07
  7         13      1.0041147e-06
  8         21      1.1521318e-06
  9         34      1.0293806e-06
 10         55      1.0256863e-06
 11         89      1.1952901e-06
 12        144      1.0192010e-06
 13        233      1.0095415e-06
 14        377      1.0870073e-06
 15        610      1.1517850e-06
 16        987      1.2904887e-06
 17       1597      1.1910873e-06
 18       2584      1.0677856e-06
 19       4181      1.0760057e-06
 20       6765      1.2807014e-06
 21      10946      1.3405225e-06
 22      17711      1.0579653e-06
 23      28657      1.0757256e-06
 24      46368      1.0672301e-06
 25      75025      1.0664597e-06
 26     121393      1.0609988e-06
 27     196418      1.0728018e-06
 28     317811      1.0976307e-06
 29     514229      1.2293918e-06
 30     832040      1.1650346e-06
 31    1346269      1.2521066e-06
 32    2178309      1.1123959e-06
 33    3524578      1.1279075e-06
 34    5702887      1.3225768e-06
 35    9227465      1.2371548e-06
