  N        Fib          Runtime
  -        ---         --------
  1          1      1.8942525e-06
  2          1      1.1823725e-06
  3          2      1.1635582e-06
  4          3      1.3222936e-06
  5          5      1.4912154e-06
  6          8      1.7639828e-06
  7         13      2.4320642e-06
  8         21      3.1251801e-06
  9         34      4.3697395e-06
 10         55      6.4729523e-06
 11         89      9.8667964e-06
 12        144      1.5487140e-05
 13        233      2.4423316e-05
 14        377      3.9094402e-05
 15        610      9.3617801e-05
 16        987      1.0495849e-04
 17       1597      1.6219499e-04
 18       2584      2.7237114e-04
 19       4181      4.1449178e-04
 20       6765      7.5522878e-04
 21      10946      1.8468337e-03
 22      17711      2.0381927e-03
 23      28657      3.2796387e-03
 24      46368      4.6291177e-03
 25      75025      7.4075017e-03
 26     121393      1.2801341e-02
 27     196418      2.0114223e-02
 28     317811      3.3726897e-02
 29     514229      5.4903336e-02
 30     832040      8.6829092e-02
 31    1346269      1.4173538e-01
 32    2178309      2.2457020e-01
 33    3524578      3.6816276e-01
 34    5702887      6.0135660e-01
 35    9227465      9.7294436e-01
